id,observed_on,species_common,species_scientific,latitude,longitude,place_guess,quality_grade,native,introduced,threatened
338505405,2026-02-13,California Digger Bee,Anthophora californica,32.76070482,-116.998499075,"Casa De Oro-Mount Helix, CA, USA",research,True,False,False
338504116,2026-02-13,Western Honey Bee,Apis mellifera,33.8284208,-116.521328,"Palm Springs, CA 92262, USA",research,False,True,False
338503796,2026-02-13,Western Honey Bee,Apis mellifera,33.8283251,-116.5212678,"Palm Springs, CA 92262, USA",research,False,True,False
338503339,2026-02-13,Western Honey Bee,Apis mellifera,34.1029194444,-118.707466667,"Los Angeles County, CA, USA",research,False,True,False
338503080,2026-02-13,Yellow-faced Bumble Bee,Bombus vosnesenskii,34.424386215,-119.576984368,"Carpinteria, CA, US",research,True,False,False
338502757,2026-02-05,All-dark Miner,Andrena perimelas,32.668645,-117.243971667,"Cabrillo National Monument, San Diego, CA, US",research,False,False,False
338502234,2026-02-05,All-dark Miner,Andrena perimelas,32.6685783333,-117.244133333,"Cabrillo National Monument, San Diego, CA, US",research,False,False,False
338501819,2025-10-05,Ligated Furrow Bee,Halictus ligatus,33.8030584822,-118.396294641,"Malaga Cove, Palos Verdes Estates, CA 90274, USA",research,True,False,False
338499257,2026-02-13,Western Honey Bee,Apis mellifera,33.6620953671,-117.840681748,"San Joaquin Marsh, Irvine, CA 92612, USA",research,False,True,False
338497349,2026-02-13,Fine striped sweat bee,Agapostemon subtilior,32.9392633333,-117.252008333,"Del Mar Heights, San Diego, CA 92014, USA",research,True,False,False
338497067,2026-02-13,California Bumble Bee,Bombus californicus,33.7776494287,-118.303330354,"San Pedro, CA 90732, USA",research,True,False,False
338495165,2026-02-13,California Digger Bee,Anthophora californica,32.7469302132,-117.23485027,"Point Loma Heights, San Diego, CA, USA",research,True,False,False
338495164,2026-02-13,California Digger Bee,Anthophora californica,32.7469302132,-117.23485027,"Point Loma Heights, San Diego, CA, USA",research,True,False,False
338495162,2026-02-13,California Digger Bee,Anthophora californica,32.7469302132,-117.23485027,"Point Loma Heights, San Diego, CA, USA",research,True,False,False
338495160,2026-02-13,California Digger Bee,Anthophora californica,32.7469302132,-117.23485027,"Point Loma Heights, San Diego, CA, USA",research,True,False,False
338495158,2026-02-13,California Digger Bee,Anthophora californica,32.7469302132,-117.23485027,"Point Loma Heights, San Diego, CA, USA",research,True,False,False
338494719,2026-02-13,Western Honey Bee,Apis mellifera,33.63102,-115.992705,"Ladder Canyon Trailhead, Thermal, CA, US",research,False,True,False
338494716,2026-02-13,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.9403716667,-117.250945,"Del Mar Heights, San Diego, CA 92014, USA",research,True,False,False
338494706,2026-02-13,Fine striped sweat bee,Agapostemon subtilior,32.9403716667,-117.250945,"Del Mar Heights, San Diego, CA 92014, USA",research,True,False,False
338494703,2026-02-13,Fine striped sweat bee,Agapostemon subtilior,32.9383816667,-117.252723333,"Del Mar Heights, San Diego, CA 92014, USA",research,True,False,False
338494702,2026-02-13,Fine striped sweat bee,Agapostemon subtilior,32.9383816667,-117.252723333,"Del Mar Heights, San Diego, CA 92014, USA",research,True,False,False
338494698,2026-02-13,Fine striped sweat bee,Agapostemon subtilior,32.9383816667,-117.252723333,"Torrey Pines State Reserve, San Diego, California, United States",research,True,False,False
338493606,2026-02-13,Western Honey Bee,Apis mellifera,32.868075,-117.25183,"Shellback Way, San Diego, CA, US",research,False,True,False
338492670,2026-02-13,Yellow-faced Bumble Bee,Bombus vosnesenskii,33.5832616667,-117.85723,"Bluff Top Trail, Newport Beach, CA, US",research,True,False,False
338489579,2026-02-13,Western Honey Bee,Apis mellifera,32.7780444444,-117.186408333,"Bay Park, San Diego, CA, USA",research,False,True,False
338489335,2026-02-13,California Bumble Bee,Bombus californicus,33.5793916667,-117.849646667,"Crystal Cove State Park, Newport Beach, CA, US",research,True,False,False
338488791,2026-02-13,Black-tailed Bumble Bee,Bombus melanopygus,32.82177,-117.077836167,"Mission Trails Regional Park, San Diego, CA, US",research,True,False,False
338488165,2026-02-13,Tansy Mustard Sweat Bee,Lasioglossum sisymbrii,32.8226966667,-117.078111167,"Mission Trails Regional Park, San Diego, CA, US",research,True,False,False
338485449,2026-02-13,Tansy Mustard Sweat Bee,Lasioglossum sisymbrii,34.0200833333,-118.381694444,"Baldwin Hills, Los Angeles, CA, USA",research,True,False,False
338484616,2026-02-13,Western Honey Bee,Apis mellifera,33.5314741578,-117.709975875,"Laguna Niguel, CA, USA",research,False,True,False
338484328,2026-02-13,Western Honey Bee,Apis mellifera,33.5317885501,-117.709898904,"Laguna Niguel, CA, USA",research,False,True,False
338478215,2026-02-12,Western Honey Bee,Apis mellifera,32.7180938292,-117.126377255,"Golden Hill, San Diego, CA 92102, USA",research,False,True,False
338473218,2026-02-13,Black-tailed Bumble Bee,Bombus melanopygus,34.2325,-118.8484,"Corte Cancion, Thousand Oaks, CA, US",research,True,False,False
338472632,2026-02-13,Western Honey Bee,Apis mellifera,32.9914883333,-116.98092,"Running Deer Trail, Poway, CA, US",research,False,True,False
338470864,2026-02-11,Western Honey Bee,Apis mellifera,33.9780383333,-117.333221667,"University of California, Riverside, Riverside, CA, US",research,False,True,False
338466045,2026-02-13,Western Honey Bee,Apis mellifera,34.4482783333,-118.583213333,"Castaic, CA, US",research,False,True,False
338463557,2026-02-13,Valley Carpenter Bee,Xylocopa sonorina,33.7730477242,-116.289877263,"Signal Ct, Palm Desert, CA, US",research,True,False,False
338461296,2026-02-13,Western Honey Bee,Apis mellifera,32.7211885132,-117.120580573,"Beech St, San Diego, CA, US",research,False,True,False
338456491,2026-01-25,Yellow-faced Bumble Bee,Bombus vosnesenskii,33.7469103997,-118.3204876,"Miraleste Dr & Via Colinita, Rancho Palos Verdes, CA 90275, USA",research,True,False,False
338455122,2026-02-10,Western Honey Bee,Apis mellifera,33.5313965505,-117.710373402,"Laguna Niguel, CA, USA",research,False,True,False
338455085,2026-02-13,Western Honey Bee,Apis mellifera,33.6044005577,-116.439901161,"Santa Rosa and San Jacinto Mountains National Monument, Mountain Center, CA, US",research,False,True,False
338452964,2026-01-29,California Digger Bee,Anthophora californica,32.6397516997,-117.1105608,"Chula Vista, CA 91910, USA",research,True,False,False
338450378,2026-02-01,Western Honey Bee,Apis mellifera,34.0574507835,-117.251251973,"North Central, Loma Linda, CA, USA",research,False,True,False
